model,band,horizon_days,n_scores,rank,raw_radius,used_radius
Seasonal Naive,0,1-7,42,39,125.0,125.0
Seasonal Naive,1,8-14,42,39,105.0,125.0
Seasonal Naive,2,15-21,42,39,219.0,219.0
Seasonal Naive,3,22-28,42,39,124.0,219.0
Holt-Winters,0,1-7,42,39,102.11248600976523,102.11248600976523
Holt-Winters,1,8-14,42,39,87.99013838948395,102.11248600976523
Holt-Winters,2,15-21,42,39,285.01854090479617,285.01854090479617
Holt-Winters,3,22-28,42,39,115.63686111511913,285.01854090479617
LightGBM,0,1-7,42,39,103.02988549393342,103.02988549393342
LightGBM,1,8-14,42,39,90.5337718520143,103.02988549393342
LightGBM,2,15-21,42,39,248.90266214839482,248.90266214839482
LightGBM,3,22-28,42,39,202.48052557469555,248.90266214839482
