feature,gain,gain_pct
lag_1,296912821.1274414,47.81872839941357
lag_7,141175288.02172852,22.7367168887679
year_sin_1,26815146.895996094,4.318662365407382
day_of_week,24234145.060302734,3.9029840349440645
lag_28,23410309.72314453,3.770302805201889
rolling_mean_7,15528551.660644531,2.500921285503877
lag_21,14567823.5,2.3461930430349867
rolling_std_7,12248103.514404297,1.972594962855483
rolling_std_14,9276714.687011719,1.4940435996418668
lag_14,8430391.125366211,1.3577405717743696
rolling_mean_14,7772172.304199219,1.2517323942990803
rolling_mean_28,6785776.461181641,1.0928702921761055
day_of_year,5146780.857177734,0.8289049796035795
lag_2,4423467.440917969,0.7124131162059668
year_cos_1,3514174.4555664062,0.5659686678426029
lag_3,3468173.3669433594,0.5585600502066582
rolling_min_28,3124537.904296875,0.5032164958451374
rolling_std_28,2062783.3048095703,0.3322176328559261
year_sin_2,1903651.385131836,0.30658894488666955
rolling_std_56,1806363.0913085938,0.29092036418641365
year_cos_2,1717555.0471191406,0.27661755392496046
trend_days,1622049.6711425781,0.2612361176597111
dow_sin,1615866.2236328125,0.2602402543085809
rolling_mean_56,1452017.8835449219,0.23385197224111626
rolling_max_28,784915.2380371094,0.12641302737192117
week_of_year,640604.24609375,0.10317129566567228
dow_cos,473066.8776855469,0.0761888841745037
month,0.0,0.0
