date,model,forecast_origin,prediction,lower_90,upper_90
2026-01-01,Seasonal Naive,2025-12-31,605.0,480.0,730.0
2026-01-02,Seasonal Naive,2025-12-31,667.0,542.0,792.0
2026-01-03,Seasonal Naive,2025-12-31,837.0,712.0,962.0
2026-01-04,Seasonal Naive,2025-12-31,746.0,621.0,871.0
2026-01-05,Seasonal Naive,2025-12-31,605.0,480.0,730.0
2026-01-06,Seasonal Naive,2025-12-31,553.0,428.0,678.0
2026-01-07,Seasonal Naive,2025-12-31,575.0,450.0,700.0
2026-01-08,Seasonal Naive,2025-12-31,605.0,480.0,730.0
2026-01-09,Seasonal Naive,2025-12-31,667.0,542.0,792.0
2026-01-10,Seasonal Naive,2025-12-31,837.0,712.0,962.0
2026-01-11,Seasonal Naive,2025-12-31,746.0,621.0,871.0
2026-01-12,Seasonal Naive,2025-12-31,605.0,480.0,730.0
2026-01-13,Seasonal Naive,2025-12-31,553.0,428.0,678.0
2026-01-14,Seasonal Naive,2025-12-31,575.0,450.0,700.0
2026-01-15,Seasonal Naive,2025-12-31,605.0,386.0,824.0
2026-01-16,Seasonal Naive,2025-12-31,667.0,448.0,886.0
2026-01-17,Seasonal Naive,2025-12-31,837.0,618.0,1056.0
2026-01-18,Seasonal Naive,2025-12-31,746.0,527.0,965.0
2026-01-19,Seasonal Naive,2025-12-31,605.0,386.0,824.0
2026-01-20,Seasonal Naive,2025-12-31,553.0,334.0,772.0
2026-01-21,Seasonal Naive,2025-12-31,575.0,356.0,794.0
2026-01-22,Seasonal Naive,2025-12-31,605.0,386.0,824.0
2026-01-23,Seasonal Naive,2025-12-31,667.0,448.0,886.0
2026-01-24,Seasonal Naive,2025-12-31,837.0,618.0,1056.0
2026-01-25,Seasonal Naive,2025-12-31,746.0,527.0,965.0
2026-01-26,Seasonal Naive,2025-12-31,605.0,386.0,824.0
2026-01-27,Seasonal Naive,2025-12-31,553.0,334.0,772.0
2026-01-28,Seasonal Naive,2025-12-31,575.0,356.0,794.0
