horizon,date,lag_1,prediction,last_observed_date,previous_input_type
1,2025-01-30,644.0,761.18552452753,2025-01-29,observed
2,2025-01-31,761.18552452753,747.6973616767056,2025-01-29,predicted
3,2025-02-01,747.6973616767056,912.666855386751,2025-01-29,predicted
4,2025-02-02,912.666855386751,892.3248706042275,2025-01-29,predicted
5,2025-02-03,892.3248706042275,767.0672066030382,2025-01-29,predicted
6,2025-02-04,767.0672066030382,704.7477305535648,2025-01-29,predicted
7,2025-02-05,704.7477305535648,715.5008670951897,2025-01-29,predicted
8,2025-02-06,715.5008670951897,745.6174530984105,2025-01-29,predicted
9,2025-02-07,745.6174530984105,738.5936121520944,2025-01-29,predicted
10,2025-02-08,738.5936121520944,936.1838451472973,2025-01-29,predicted
11,2025-02-09,936.1838451472973,883.2603456666849,2025-01-29,predicted
12,2025-02-10,883.2603456666849,714.0064418223827,2025-01-29,predicted
13,2025-02-11,714.0064418223827,670.4382247094591,2025-01-29,predicted
14,2025-02-12,670.4382247094591,647.2052397227803,2025-01-29,predicted
15,2025-02-13,647.2052397227803,691.0049247671278,2025-01-29,predicted
16,2025-02-14,691.0049247671278,738.7052214958499,2025-01-29,predicted
17,2025-02-15,738.7052214958499,948.7251390063342,2025-01-29,predicted
18,2025-02-16,948.7251390063342,872.1446690256629,2025-01-29,predicted
19,2025-02-17,872.1446690256629,690.7143572189551,2025-01-29,predicted
20,2025-02-18,690.7143572189551,636.4189354792682,2025-01-29,predicted
21,2025-02-19,636.4189354792682,630.6965213803106,2025-01-29,predicted
22,2025-02-20,630.6965213803106,717.7636137003632,2025-01-29,predicted
23,2025-02-21,717.7636137003632,808.822501378287,2025-01-29,predicted
24,2025-02-22,808.822501378287,934.6906756467325,2025-01-29,predicted
25,2025-02-23,934.6906756467325,843.6619315009219,2025-01-29,predicted
26,2025-02-24,843.6619315009219,691.7680595057521,2025-01-29,predicted
27,2025-02-25,691.7680595057521,618.5027901303467,2025-01-29,predicted
28,2025-02-26,618.5027901303467,632.0454657931398,2025-01-29,predicted
